timestamp,equipment_id,vibration_hz
2026-06-20T04:00:00Z,CRSH-003,160.02
2026-06-20T04:00:10Z,CRSH-003,42.87
2026-06-20T04:00:20Z,CRSH-003,41.56
2026-06-20T04:00:30Z,CRSH-003,40.96
2026-06-20T04:00:40Z,CRSH-003,52.52
2026-06-20T04:00:50Z,CRSH-003,42.55
2026-06-20T04:01:00Z,CRSH-003,57.61
2026-06-20T04:01:10Z,CRSH-003,42.62
2026-06-20T04:01:20Z,CRSH-003,57.76
2026-06-20T04:01:30Z,CRSH-003,45.15
2026-06-20T04:01:40Z,CRSH-003,55.39
2026-06-20T04:01:50Z,CRSH-003,54.02
2026-06-20T04:02:00Z,CRSH-003,51.88
2026-06-20T04:02:10Z,CRSH-003,52.58
2026-06-20T04:02:20Z,CRSH-003,40.99
2026-06-20T04:02:30Z,CRSH-003,42.61
2026-06-20T04:02:40Z,CRSH-003,46.95
2026-06-20T04:02:50Z,CRSH-003,55.91
2026-06-20T04:03:00Z,CRSH-003,57.7
2026-06-20T04:03:10Z,CRSH-003,58.95
2026-06-20T04:03:20Z,CRSH-003,45.62
2026-06-20T04:03:30Z,CRSH-003,45.5
2026-06-20T04:03:40Z,CRSH-003,54.53
2026-06-20T04:03:50Z,CRSH-003,46.1
2026-06-20T04:04:00Z,CRSH-003,47.21
2026-06-20T04:04:10Z,CRSH-003,54.68
2026-06-20T04:04:20Z,CRSH-003,56.61
2026-06-20T04:04:30Z,CRSH-003,54.34
2026-06-20T04:04:40Z,CRSH-003,48.59
2026-06-20T04:04:50Z,CRSH-003,46.71
2026-06-20T04:05:00Z,CRSH-003,48.08
2026-06-20T04:05:10Z,CRSH-003,44.06
2026-06-20T04:05:20Z,CRSH-003,47.03
2026-06-20T04:05:30Z,CRSH-003,45.24
2026-06-20T04:05:40Z,CRSH-003,56.05
2026-06-20T04:05:50Z,CRSH-003,48.35
2026-06-20T04:06:00Z,CRSH-003,44.97
2026-06-20T04:06:10Z,CRSH-003,56.88
2026-06-20T04:06:20Z,CRSH-003,49.57
2026-06-20T04:06:30Z,CRSH-003,48.88
2026-06-20T04:06:40Z,CRSH-003,40.93
2026-06-20T04:06:50Z,CRSH-003,42.03
2026-06-20T04:07:00Z,CRSH-003,59.57
2026-06-20T04:07:10Z,CRSH-003,42.51
2026-06-20T04:07:20Z,CRSH-003,43.22
2026-06-20T04:07:30Z,CRSH-003,54.25
2026-06-20T04:07:40Z,CRSH-003,44.77
2026-06-20T04:07:50Z,CRSH-003,47.53
2026-06-20T04:08:00Z,CRSH-003,43.23
2026-06-20T04:08:10Z,CRSH-003,58.01
2026-06-20T04:08:20Z,CRSH-003,42.61
2026-06-20T04:08:30Z,CRSH-003,49.63
2026-06-20T04:08:40Z,CRSH-003,59.99
2026-06-20T04:08:50Z,CRSH-003,59.97
2026-06-20T04:09:00Z,CRSH-003,59.23
2026-06-20T04:09:10Z,CRSH-003,54.24
2026-06-20T04:09:20Z,CRSH-003,48.21
2026-06-20T04:09:30Z,CRSH-003,58.94
2026-06-20T04:09:40Z,CRSH-003,41.68
2026-06-20T04:09:50Z,CRSH-003,43.09
2026-06-20T04:10:00Z,CRSH-003,54.59
2026-06-20T04:10:10Z,CRSH-003,42.05
2026-06-20T04:10:20Z,CRSH-003,54.4
2026-06-20T04:10:30Z,CRSH-003,55.52
2026-06-20T04:10:40Z,CRSH-003,46.75
2026-06-20T04:10:50Z,CRSH-003,53.19
2026-06-20T04:11:00Z,CRSH-003,51.81
2026-06-20T04:11:10Z,CRSH-003,49.06
2026-06-20T04:11:20Z,CRSH-003,52.81
2026-06-20T04:11:30Z,CRSH-003,41.97
2026-06-20T04:11:40Z,CRSH-003,58.83
2026-06-20T04:11:50Z,CRSH-003,55.81
2026-06-20T04:12:00Z,CRSH-003,43.7
2026-06-20T04:12:10Z,CRSH-003,53.25
2026-06-20T04:12:20Z,CRSH-003,51.98
2026-06-20T04:12:30Z,CRSH-003,58.06
2026-06-20T04:12:40Z,CRSH-003,56.34
2026-06-20T04:12:50Z,CRSH-003,48.53
2026-06-20T04:13:00Z,CRSH-003,40.02
2026-06-20T04:13:10Z,CRSH-003,55.4
2026-06-20T04:13:20Z,CRSH-003,47.95
2026-06-20T04:13:30Z,CRSH-003,57.11
2026-06-20T04:13:40Z,CRSH-003,59.83
2026-06-20T04:13:50Z,CRSH-003,57.24
2026-06-20T04:14:00Z,CRSH-003,48.66
2026-06-20T04:14:10Z,CRSH-003,42.09
2026-06-20T04:14:20Z,CRSH-003,44.59
2026-06-20T04:14:30Z,CRSH-003,40.6
2026-06-20T04:14:40Z,CRSH-003,45.45
2026-06-20T04:14:50Z,CRSH-003,43.39
2026-06-20T04:15:00Z,CRSH-003,43.78
2026-06-20T04:15:10Z,CRSH-003,58.93
2026-06-20T04:15:20Z,CRSH-003,52.66
2026-06-20T04:15:30Z,CRSH-003,56.58
2026-06-20T04:15:40Z,CRSH-003,59.39
2026-06-20T04:15:50Z,CRSH-003,40.2
2026-06-20T04:16:00Z,CRSH-003,56.27
2026-06-20T04:16:10Z,CRSH-003,57.71
2026-06-20T04:16:20Z,CRSH-003,47.25
2026-06-20T04:16:30Z,CRSH-003,54.93
2026-06-20T04:16:40Z,CRSH-003,159.76
2026-06-20T04:16:50Z,CRSH-003,51.75
2026-06-20T04:17:00Z,CRSH-003,51.84
2026-06-20T04:17:10Z,CRSH-003,45.3
2026-06-20T04:17:20Z,CRSH-003,40.95
2026-06-20T04:17:30Z,CRSH-003,49.94
2026-06-20T04:17:40Z,CRSH-003,49.15
2026-06-20T04:17:50Z,CRSH-003,56.29
2026-06-20T04:18:00Z,CRSH-003,58.01
2026-06-20T04:18:10Z,CRSH-003,46.15
2026-06-20T04:18:20Z,CRSH-003,56.41
2026-06-20T04:18:30Z,CRSH-003,47.75
2026-06-20T04:18:40Z,CRSH-003,59.06
2026-06-20T04:18:50Z,CRSH-003,45.0
2026-06-20T04:19:00Z,CRSH-003,49.94
2026-06-20T04:19:10Z,CRSH-003,49.76
2026-06-20T04:19:20Z,CRSH-003,54.73
2026-06-20T04:19:30Z,CRSH-003,48.5
